period_label,event_label,final_date_text,seowon_list,region_list,overlap_persons,overlap_counts,result_label
1694년까지,청건3,"1670년(현종11, 庚戌) 1월10일",원주 충렬사(忠烈祠),강원도,"원호(元豪, 1533-1592)","원호(元豪, 1533-1592) 2회째",허가
1694년까지,청건8,"1679년(숙종5, 己未) 12월 5일",미기재,미기재,"정몽주(鄭夢周, 1337-1392)","정몽주(鄭夢周, 1337-1392) 3회째",허가
1694년까지,청건9,"1679년(숙종5, 己未) 12월 25일",미기재,미기재,김준(金俊),김준(金俊) 2회째,허가
1694년까지,청건13,"1681년(숙종7, 辛酉) 5월 5일",미기재,미기재,"윤선거(尹宣擧, 1610-1669)","윤선거(尹宣擧, 1610-1669) 2회째",불허
1694년까지,청건14,"1681년(숙종7, 辛酉) 11월 24일",칠산서원(七山書院),충청도,"유계(俞棨, 1607-1664)","유계(俞棨, 1607-1664) 2회째",불허
1694년까지,청건7,"1681년(숙종7, 辛酉) 11월 24일",문봉서원(文峯書院),경기도,"기준(奇遵, 1492-1521), 김정국(金正國, 1485-1541)","기준(奇遵, 1492-1521) 2회째, 김정국(金正國, 1485-1541) 3회째",불허
1694년까지,청건17,"1687년(숙종13, 丁卯) 2월6일",성천서원(星川書院),경상도,"송준길(宋浚吉, 1606-1672)","송준길(宋浚吉, 1606-1672) 6회째",불허
1694년까지,청건10,"1689년(숙종15, 己巳) 11월22일",해촌서원(海村書院),전라도,"임억령(林億齡, 1496-1568), 유희춘(柳希春, 1513-1577)","임억령(林億齡, 1496-1568) 2회째, 유희춘(柳希春, 1513-1577) 3회째",불허
1694년까지,청건19,"1690년(숙종16, 庚午) 1월1일",용연서원(龍淵書院),경기도,"조경(趙絅, 1586-1669), 이덕형(李德馨, 1561-1613)","조경(趙絅, 1586-1669) 3회째, 이덕형(李德馨, 1561-1613) 2회째",허가
1694년까지,청건20,"1690년(숙종16, 庚午) 3월6일",미강서원(湄江書院),경기도,"윤선도(尹善道, 1587-1671)","윤선도(尹善道, 1587-1671) 2회째",허가
1694년까지,청건16,"1690년(숙종16, 庚午) 4월4일",미기재,미기재,"윤선도(尹善道, 1587-1671)","윤선도(尹善道, 1587-1671) 3회째",허가
1694년까지,청건21,"1690년(숙종16, 庚午) 4월4일",나주 미천서원(羅州 眉泉書院),전라도,"허목(許穆, 1595-1682)","허목(許穆, 1595-1682) 2회째",허가
1694년까지,청건22,"1694년(숙종20, 甲戌) 10월19일",매곡서원(梅谷書院),경기도,"송시열(宋時烈, 1607-1689)","송시열(宋時烈, 1607-1689) 5회째",허가
1694년까지,청건24,"1694년(숙종20, 甲戌) 10월22일",미기재,미기재,"오두인(吳斗寅, 1624-1689)","오두인(吳斗寅, 1624-1689) 2회째",불허
1695년 이후,청건23,"1695년(숙종21, 乙亥) 9월21일",고암서원(考巖書院),전라도,"송시열(宋時烈, 1607-1689)","송시열(宋時烈, 1607-1689) 12회째",허가
1695년 이후,청건25,"1695년(숙종21, 乙亥) 9월24일",구봉서원_봉산(九峰書院),황해도,"박세채(朴世采, 1631-1695)","박세채(朴世采, 1631-1695) 2회째",허가
1695년 이후,청건26,"1702년(숙종28, 壬午) 윤6월 27일",학산서원(鶴山書院),경기도,"이단상(李端相, 1628-1669)","이단상(李端相, 1628-1669) 2회째",허가
1695년 이후,청건27,"1703년(숙종29, 癸未) 3월 16일",잠곡서원(潛谷書院),경기도,"김육(金堉, 1580-1658)","김육(金堉, 1580-1658) 4회째",허가
1695년 이후,청건29,"1703년(숙종29, 癸未) 10월6일",덕잠서원(德岑書院),충청도,김구(金絿),김구(金絿) 2회째,허가
1695년 이후,청건32,"1704년(숙종30, 甲申) 5월21일",현충사(顯忠祠),충청도,"이순신(李舜臣, 1545-1598)","이순신(李舜臣, 1545-1598) 3회째",허가
1695년 이후,청건33,"1704년(숙종30, 甲申) 5월21일",서산서원(西山書院),경상도,"남효온(南孝溫, 1454-1492), 김시습(金時習, 1435-1493), 이맹전(李孟專, 1392-1480), 원호(元昊)","남효온(南孝溫, 1454-1492) 3회째, 김시습(金時習, 1435-1493) 3회째, 이맹전(李孟專, 1392-1480) 2회째, 원호(元昊) 2회째",허가
1695년 이후,청건40,"1704년(숙종30, 甲申) 5월21일",부산서원(浮山書院),충청도,"김집(金集, 1574-1656)","김집(金集, 1574-1656) 7회째",불허
1695년 이후,청건34,"1704년(숙종30, 甲申) 6월1일",미기재,미기재,"황신(黃愼, 1560-1617)","황신(黃愼, 1560-1617) 2회째",불허
Sparql 쿼리문(수정 설계 기준),,,,,,,
