경로,지역,서원명,배향인물,건립허가일,사액허가일,추향허가
건립-사액,경기도,매곡서원(梅谷書院),송시열,1694.10.19,1695.07.20,
건립-사액,경기도,미강서원(湄江書院),"윤선도, 허목",1690.03.06,1692.09.29,
건립-사액,경기도,신곡서원(新谷書院),윤선거,1681.04.28,1695.09.24,
건립-사액,경기도,용연서원(龍淵書院),"조경, 이덕형",1690.01.01,1691.11.03,
건립-사액,경기도,잠곡서원(潛谷書院),김육,1703.03.16,1706.01.29,
건립-사액,전라도,나주 미천서원(羅州 眉泉書院),허목,1690.04.04,1693.09.24,
건립-사액,전라도,봉암서원_임피(鳳巖書院),"김집, 김구",1658.03.17,1694.10.11,
건립-사액,충청도,현충사(顯忠祠),이순신,1704.05.21,1706.10.23,
건립-사액-추향,경기도,오관서원 (五冠書院),박상충,1681.03.03,1684.10.05,1702.07.16 박세채
건립-사액-추향,평안도,충무사(忠武祠),을지문덕,1669.02.23,1671.11.20,1717.05.15 김양언
건립-추향,경기도,현절사(顯節祠),"홍익한, 윤집, 오달제",1681.02.04,,"1699.07.14 정온, 1699.07.14 김상헌"
건립만,강원도,도천서원(陶川書院),허후,1692.02.12,,
건립만,강원도,원주 충렬사(忠烈祠),"원충갑, 김제갑, 원호",1670.01.10,,
건립만,경기도,학산서원(鶴山書院),이단상,1702.06.27,,
건립만,경상도,서산서원(西山書院),"이맹전, 조려, 성담수, 남효온, 원호, 김시습",1704.05.21,,
건립만,경상도,송정서원 (松亭書院),조임도,1721.06.11,,
건립만,경상도,포충사_거창(褒忠祠),이술원,1737.12.24,,
건립만,전라도,고암서원(考巖書院),송시열,1695.09.21,,
건립만,전라도,백산서원(柏山書院),이세필,1723.03.18,,
건립만,전라도,서하사(西河祠),이민서,1704.05.11,,
건립만,충청도,덕잠서원(德岑書院),김구,1703.10.06,,
건립만,충청도,성암서원(聖巖書院),"유숙, 김홍욱",1719.09.30,,
건립만,충청도,지산서원(芝山書院),최석정,1722.09.05,,
건립만,황해도,구봉서원_봉산(九峰書院),박세채,1695.09.24,,
사액-추향,경기도,구암서원 (龜巖書院),"정성근, 이양중, 이집, 정엽",,1697.01.24,"1704.03.15 임숙영, 1704.03.15 오윤겸"
사액-추향,경기도,석실서원 (石室書院),,,1663.08.10,"1697.03.17 민정중, 1697.03.17 김수항, 1697.03.17 이단상"
사액-추향,경기도,수곡서원 (秀谷書院),"조속, 이의건",,1695.10.19,1718.03.13 이후원
사액-추향,경상도,구계서원 (龜溪書院),이정,,1675.10.04,1723.03.26 김덕함
사액-추향,전라도,벽진서원 (碧津書院),"김덕령, 박광옥",,1680.08.25,1694.10.19 오두인
사액-추향,전라도,화산서원_익산(華山書院),김장생,,1660.02.19,1694.10.19 송시열
사액-추향,전라도,화산서원_전주(華山書院),이언적,,1658.12.11,1693.12.26 조경
사액-추향,제주도,귤림서원 (橘林書院),"정온, 송인수, 김정, 김상헌",,1682.06.23,1695.06.19 송시열
사액-추향,충청도,노강서원_논산(魯岡書院),"윤황, 윤문거, 윤선거",,1682.02.17,1723.07.11 윤증
사액-추향,충청도,노봉서원_청주(魯峰書院),"송인수, 정렴",,1658.11.03,"1694.10.19 송시열, 1687.02.06 송준길"
사액-추향,충청도,돈암서원(遯巖書院),"김집, 김장생",,1658.10.27,"1695.07.20 송시열, 1688.03.10 송준길"
사액-추향,충청도,봉암서원_세종(鳳巖書院),"김장생, 한충",,1665.05.15,"1685.11.05 송준길, 1721.05.13 송시열"
