인물,최종일자,지역,서원_최종횟수,사건종류,청원결과
이황,1665-05-15,충청도,죽림서원(2회),청액,허가
이황,1672-11-28,평안도,청계서원(1회),청액,불허
이황,1676-02-13,경상도,호계서원_안동(2회),청액,허가
이황,1676-12-19,경상도,도남서원(3회),청액,허가
이황,1685-05-22,미기재,미기재(2회),청액,불허
이황,1689-09-24,경상도,봉람서원(1회),청액,허가
이황,1691-11-03,충청도,단암서원(2회),청액,허가
이황,1693-09-24,미기재,미기재(1회),청액,허가
이황,1693-11-13,경상도,영산서원(1회),청액,허가
이황,1693-12-26,경상도,욱양서원(1회),청액,불허
이황,1697-06-02,황해도,도동서원_송화(1회),청액,허가
이황,1698-03-25,미기재,미기재(1회),청액,허가
이황,1723-05-11,경상도,백학서원(1회),청액,불허
이이,1655-04-19,강원도,송담서원(1회),청액,불허
이이,1658-10-27,충청도,신항서원(1회),청액,허가
이이,1665-05-15,충청도,죽림서원(2회),청액,허가
이이,1681-05-05,황해도,비봉서원(1회),청액,허가
이이,1681-05-12,전라도,경현서원_나주(1회),추향,불허
이이,1681-11-24,미기재,미기재(1회),청액,허가
이이,1683-05-11,미기재,미기재(1회),청액,불허
이이,1685-05-22,미기재,미기재(2회),청액,불허
이이,1694-10-11,평안도,경현서원_강계(1회),청액,허가
이이,1697-01-24,황해도,취봉서원(3회),청액,허가
이이,1697-06-02,황해도,도동서원_송화(2회),청액,허가
이이,1697-06-14,황해도,문회서원(1회),청액,허가
이이,1698-03-25,미기재,미기재(1회),청액,허가
이이,1702-05-13,경상도,병암서원(1회),청액,허가
이이,1703-10-03,황해도,문정서원(3회),청액,허가
이이,1720-12-06,황해도,백록동서원(2회),청액,허가
이이,1721-06-04,황해도,용암서원(1회),청액,허가
이이,1721-06-25,황해도,화곡서원_서흥(1회),청액,불허
