지역,서원,사건,청원유형,총청원횟수,배향인물,청원날짜_결과
경기도,임강서원 (臨江書院),청액32,청액청원,4,"김안국(金安國, 1478-1543), 안유(安裕, 1243-1306), 김정국(金正國, 1485-1541), 이색(李穡, 1328-1396), 김정(金淨, 1486-1521)","1694년(숙종20, 甲戌) 8월8일 허가 → 1670년(현종11, 庚戌) 7월15일 불허 → 1666년(현종7, 丙午) 10월28일 보류 → 1681년(숙종7, 辛酉) 5월 5일 불허"
평안도,용곡서원 (龍谷書院),청액57,청액청원,4,선우협(鮮于浹),"1680년(숙종6, 庚申) 3월 8일 불허 → 1681년(숙종7, 辛酉) 11월 24일 허가 → 1682년(숙종8, 壬戌) 11월 27일 허가 → 1672년(현종13, 壬子) 7월3일 불허"
경상도,동락서원 (東洛書院),청액18,청액청원,3,"장현광(張顯光, 1554-1637)","1675년(숙종1, 乙卯) 10월 4일 허가 → 1669년(현종10, 己酉) 1월9일 불허 → 1662년(현종3, 壬寅) 10월22일 불허"
경상도,오산서원_구미(吳山書院),청액17,청액청원,3,"길재(吉再, 1353-1419)","1669년(현종10, 己酉) 3월14일 허가 → 1662년(현종3, 壬寅) 10월22일 불허 → 1669년(현종10, 己酉) 1월9일 불허"
전라도,녹동서원 (鹿洞書院),청액82,청액청원,3,"김수항(金壽恒, 1629-1689), 최충성(崔忠成, 1458-1491), 최덕지(崔德之, 1384-1455)","1706년(숙종32, 丙戌) 2월4일 불허 → 1702년(숙종28, 壬午) 윤6월 27일 불허 → 1681년(숙종7, 辛酉) 11월 24일 불허"
전라도,송림서원 (松林書院),청액19,청액청원,3,"김권(金權, 1549-1622)","1681년(숙종7, 辛酉) 3월 25일 허가 → 1673년(현종14, 癸丑) 4월20일 불허 → 1662년(현종3, 壬寅) 11월 1일 불허"
전라도,화산서원_순창(花山書院),청액59,청액청원,3,"김인후(金麟厚, 1510-1560), 김천일(金千鎰, 1537-1593), 고경명(高敬命, 1533-1592), 김정(金淨, 1486-1521), 신말주(申末舟, 1429-1503)","1673년(현종14, 癸丑) 4월20일 불허 → 1692년(숙종18, 壬申) 11월16일 불허 → 1694년(숙종20, 甲戌) 10월19일 불허"
충청도,백원서원 (百源書院),청액28,청액청원,3,"이여(李畬, 1503-1542), 김덕숭(金德崇, 1373-1448), 이종학(李鍾學, 1361-1392), 이부(李阜, 1482-1555)","1667년(현종8, 丁未) 윤4월4일 불허 → 1669년(현종10, 己酉) 4월11일 허가 → 1666년(현종7, 丙午) 4월24일 불허"
충청도,충주 팔봉서원 (忠州 八峯書院),청액15,청액청원,3,"노수신(盧守愼, 1515-1590), 김세필(金世弼, 1473-1533), 이자(李耔, 1480-1533), 이연경(李延慶, 1484-1548)","1672년(현종13, 壬子) 6월29일 허가 → 1661년(현종2, 辛丑) 10월23일 불허 → 1661년(현종2, 辛丑) 7월20일 허가"
충청도,충현서원_공주(忠賢書院),추향12,추향청원,3,"권시(權諰, 1604-1672)","1694년(숙종20, 甲戌) 1월2일 불허 → 1676년(숙종2, 丙辰) 5월 11일 불허 → 1680년(숙종6, 庚申) 3월 8일 불허"
충청도,화암서원 (花巖書院),청액81,청액청원,3,"이지함(李之菡, 1517-1578), 이산보(李山甫, 1539-1594)","1685년(숙종11, 乙丑) 11월5일 허가 → 1685년(숙종11, 乙丑) 1월7일 불허 → 1681년(숙종7, 辛酉) 11월 24일 불허"
함경도,종산서원 (鍾山書院),청액51,청액청원,3,"조석윤(趙錫胤, 1606-1655), 유계(俞棨, 1607-1664), 정여창(鄭汝昌, 1450-1504), 정홍익(鄭弘翼, 1571-1626), 유희춘(柳希春, 1513-1577), 기준(奇遵, 1492-1521), 정엽(鄭曄, 1563-1625)","1685년(숙종11, 乙丑) 11월5일 허가 → 1685년(숙종11, 乙丑) 2월2일 불허 → 1670년(현종11, 庚戌) 7월15일 불허"
황해도,문정서원 (文井書院),청액101,청액청원,3,"김집(金集, 1574-1656), 김장생(金長生, 1548-1631), 이이(李珥, 1536-1584)","1703년(숙종29, 癸未) 10월3일 허가 → 1695년(숙종21, 乙亥) 2월4일 불허 → 1686년(숙종12, 丙寅) 3월7일 불허"
황해도,취봉서원 (鷲峰書院),청액89,청액청원,3,"주자(朱子, 1130-1200), 이이(李珥, 1536-1584)","1682년(숙종8, 壬戌) 3월 15일 불허 → 1697년(숙종23, 丁丑) 1월24일 허가 → 1682년(숙종8, 壬戌) 9월 5일 불허"
