source,source_label,source_type,relation,relation_label,target,target_label,target_type,source_uri,relation_uri,target_uri
AE1,추향1,Event,concernsSeowon,관련서원,S176,천곡서원(川谷書院),Seowon,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1,http://dh.aks.ac.kr/ontologies/seowondeungrok#concernsSeowon,http://dh.aks.ac.kr/ontologies/seowondeungrok#S176
AE1,추향1,Event,eventGroup,사건범주,Petition,청원,Category,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1,http://dh.aks.ac.kr/ontologies/seowondeungrok#eventGroup,http://dh.aks.ac.kr/ontologies/seowondeungrok#Petition
AE1,추향1,Event,eventType,사건유형,AdditionalEnshrinement,추향,Category,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1,http://dh.aks.ac.kr/ontologies/seowondeungrok#eventType,http://dh.aks.ac.kr/ontologies/seowondeungrok#AdditionalEnshrinement
AE1,추향1,Event,hasAction,(행위를)포함하다,AE1_Pet1,추향1_청원1,Act,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1,http://dh.aks.ac.kr/ontologies/seowondeungrok#hasAction,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1
AE1,추향1,Event,hasAction,(행위를)포함하다,AE1_Pet1_Review1,추향1_청원1(심사1),Act,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1,http://dh.aks.ac.kr/ontologies/seowondeungrok#hasAction,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review1
AE1,추향1,Event,hasAction,(행위를)포함하다,AE1_Pet1_Review2,추향1_청원1(심사2),Act,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1,http://dh.aks.ac.kr/ontologies/seowondeungrok#hasAction,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review2
AE1,추향1,Event,hasExistingEnshrinedPerson,기존배향인물,P0008,"정호(程顥, 1032-1085)",Person,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1,http://dh.aks.ac.kr/ontologies/seowondeungrok#hasExistingEnshrinedPerson,http://dh.aks.ac.kr/ontologies/seowondeungrok#P0008
AE1,추향1,Event,hasExistingEnshrinedPerson,기존배향인물,P0009,"정이(程頤, 1033-1107)",Person,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1,http://dh.aks.ac.kr/ontologies/seowondeungrok#hasExistingEnshrinedPerson,http://dh.aks.ac.kr/ontologies/seowondeungrok#P0009
AE1,추향1,Event,hasExistingEnshrinedPerson,기존배향인물,P0010,"주자(朱子, 1130-1200)",Person,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1,http://dh.aks.ac.kr/ontologies/seowondeungrok#hasExistingEnshrinedPerson,http://dh.aks.ac.kr/ontologies/seowondeungrok#P0010
AE1,추향1,Event,hasExistingEnshrinedPerson,기존배향인물,P0030,"정구(鄭逑, 1543-1620)",Person,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1,http://dh.aks.ac.kr/ontologies/seowondeungrok#hasExistingEnshrinedPerson,http://dh.aks.ac.kr/ontologies/seowondeungrok#P0030
AE1,추향1,Event,hasExistingEnshrinedPerson,기존배향인물,P0116,"김굉필(金宏弼, 1454-1504)",Person,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1,http://dh.aks.ac.kr/ontologies/seowondeungrok#hasExistingEnshrinedPerson,http://dh.aks.ac.kr/ontologies/seowondeungrok#P0116
AE1_Pet1,추향1_청원1,Act,actType,행위유형,AdditionalEnshrinementPetition,추향청원,Category,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType,http://dh.aks.ac.kr/ontologies/seowondeungrok#AdditionalEnshrinementPetition
AE1_Pet1,추향1_청원1,Act,hasPetitionResult,청원결과,Deferred,보류,Result,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1,http://dh.aks.ac.kr/ontologies/seowondeungrok#hasPetitionResult,http://dh.aks.ac.kr/ontologies/seowondeungrok#Deferred
AE1_Pet1,추향1_청원1,Act,isRecordedIn,기록되다,doc_16420728a,문건16420728a,Document,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1,http://dh.aks.ac.kr/ontologies/seowondeungrok#isRecordedIn,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16420728a
AE1_Pet1,추향1_청원1,Act,partOfEvent,(사건에)속하다,AE1,추향1,Event,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1,http://dh.aks.ac.kr/ontologies/seowondeungrok#partOfEvent,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1
AE1_Pet1,추향1_청원1,Act,petitionsForEnshrinementOf,제향하다,P0025,"장현광(張顯光, 1554-1637)",Person,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1,http://dh.aks.ac.kr/ontologies/seowondeungrok#petitionsForEnshrinementOf,http://dh.aks.ac.kr/ontologies/seowondeungrok#P0025
AE1_Pet1,추향1_청원1,Act,precedes,(행위에)앞서다,AE1_Pet1_Review1,추향1_청원1(심사1),Act,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1,http://dh.aks.ac.kr/ontologies/seowondeungrok#precedes,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review1
AE1_Pet1_Review1,추향1_청원1(심사1),Act,actType,행위유형,AdditionalEnshrinementPetition,추향청원,Category,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review1,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType,http://dh.aks.ac.kr/ontologies/seowondeungrok#AdditionalEnshrinementPetition
AE1_Pet1_Review1,추향1_청원1(심사1),Act,follows,(행위에)이어지다,AE1_Pet1,추향1_청원1,Act,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review1,http://dh.aks.ac.kr/ontologies/seowondeungrok#follows,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1
AE1_Pet1_Review1,추향1_청원1(심사1),Act,isRecordedIn,기록되다,doc_16420728b,문건16420728b,Document,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review1,http://dh.aks.ac.kr/ontologies/seowondeungrok#isRecordedIn,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16420728b
AE1_Pet1_Review1,추향1_청원1(심사1),Act,partOfEvent,(사건에)속하다,AE1,추향1,Event,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review1,http://dh.aks.ac.kr/ontologies/seowondeungrok#partOfEvent,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1
AE1_Pet1_Review1,추향1_청원1(심사1),Act,petitionsForEnshrinementOf,제향하다,P0025,"장현광(張顯光, 1554-1637)",Person,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review1,http://dh.aks.ac.kr/ontologies/seowondeungrok#petitionsForEnshrinementOf,http://dh.aks.ac.kr/ontologies/seowondeungrok#P0025
AE1_Pet1_Review1,추향1_청원1(심사1),Act,precedes,(행위에)앞서다,AE1_Pet1_Review2,추향1_청원1(심사2),Act,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review1,http://dh.aks.ac.kr/ontologies/seowondeungrok#precedes,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review2
AE1_Pet1_Review2,추향1_청원1(심사2),Act,actType,행위유형,AdditionalEnshrinementPetition,추향청원,Category,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review2,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType,http://dh.aks.ac.kr/ontologies/seowondeungrok#AdditionalEnshrinementPetition
AE1_Pet1_Review2,추향1_청원1(심사2),Act,follows,(행위에)이어지다,AE1_Pet1_Review1,추향1_청원1(심사1),Act,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review2,http://dh.aks.ac.kr/ontologies/seowondeungrok#follows,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review1
AE1_Pet1_Review2,추향1_청원1(심사2),Act,hasPetitionResult,청원결과,Approved,허가,Result,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review2,http://dh.aks.ac.kr/ontologies/seowondeungrok#hasPetitionResult,http://dh.aks.ac.kr/ontologies/seowondeungrok#Approved
AE1_Pet1_Review2,추향1_청원1(심사2),Act,isRecordedIn,기록되다,doc_16420728c,문건16420728c,Document,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review2,http://dh.aks.ac.kr/ontologies/seowondeungrok#isRecordedIn,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16420728c
AE1_Pet1_Review2,추향1_청원1(심사2),Act,partOfEvent,(사건에)속하다,AE1,추향1,Event,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1_Pet1_Review2,http://dh.aks.ac.kr/ontologies/seowondeungrok#partOfEvent,http://dh.aks.ac.kr/ontologies/seowondeungrok#AE1
