id,label,type,originalText
doc_16420728a,문건16420728a,Document,慶尙道監司鄭太和狀啓星州前別坐李昌道等九十餘 人聯名呈書內先正臣右參贊張顯光之於本州實晦翁之 於閩中也雖其移住仁同而往來於玆棲息於玆者蓋過 半矣且以盛年授業於本州先賢文穆公鄭逑之門琢 磨道德明審問辨勵志聖賢之學潛心性理之奧曾 不經意於擧子業晦迹林泉硏窮義理學問醇正踐履 篤實一言一動俱可以爲百世法而尤致意於易學探索賾 隱原始究終參伍錯綜觸類縱橫以爲上下四方之宇古往 今來之宙天所以爲經地所以爲緯人倫日用之事爲聖賢 制作之大本皆不出一太極之外推衍成說至四十餘卷皆 擴前賢之未發而爲後學之指南也 聖上當宁禮遇日隆 數年之間位躋正卿而年齡已耄所性不存再入京師 旋卽謝歸其經綸事業縱不能施之於一時前後所進建 極之疏條陳之箚亦可爲百王之步範而 聖敎中賢良恭儉 有古人風者眞所謂知臣莫如君也本州之人密邇光輝親 承誘掖雖其滅裂不能有所感發而高山景仰之誠則不 設於新安之後輩矣豈可使遺風餘馥泯泯玆土哉本州 舊有川谷書院乃 宣廟朝賜額也享程朱兩先生從祀 文敬公金宏弼而 反正之初惟州人申請又以文穆公鄭逑 從祀矣遠近士論咸以爲述文敬之業者文穆也得文穆之 宗者張顯光也傳道淵源明有旨訣竝享苾芬允合事理 而 朝家多事褥儀未遑公論之鬱鬱已有年矣伏願俯 察所控轉聞于朝以擧斯文之盛典以副士林之至願事呈書 是白乎等以枚擧以 啓爲白去乎請令該曹定奪行會 事據曹 啓目粘連自前鄕賢書院皆出於士子等公論歸 一建設而已初無 上達關決之規是白如乎今此星州儒生 等議欲從祀張顯光於祠宇實合尊賢之義不必煩請 於 朝廷是白齊以此意知會爲當行移何如 傳曰書院從祀似不當任意爲之該曹何如是回 啓耶
doc_16420728b,문건16420728b,Document,曹 啓曰云云事 傳敎矣外方書院殆遍州縣而皆是儒 生相議創設 朝廷無所預知惟名世大儒所祀之院則 因儒生等疏請或特 賜號額而已至於已設之院從祀之 擧則諸書院續續有之未嘗煩猥陳請矣今此星州儒生 等之請似欲特 蒙恩命以重其書院體面故臣等慮有後 日紛紜之弊如是回 啓矣今承 下敎果爲未妥回 啓改付 標之意敢 啓傳曰知道
doc_16420728c,문건16420728c,Document,曹 啓目自前鄕賢書院皆出於士子等公論歸一建設 而已初無 上達關決之規是白齊張顯光道學實合從祀 於先儒之祠儒生等上請之意似非偶然是白乎矣係于 恩 命 上裁何如崇德七年七月二十八日同副承旨臣南銑次知啓 依回 啓施行爲良如敎初回啓中改付標 啓下
doc_16430504a,문건16430504a,Document,前典籤臣鄭儁 上疏內伏以臣先祖文忠公鄭夢周以東方 理學之祖爲人倫師表之極故我 朝列聖旣崇尙德之典更 加褒奬之 恩以永川乃先祖舊居之地創建廟貌而 中廟 朝賜額曰臨皐 祖宗尊賢崇道之誠使人瞻仰而拜稽 之者于今百有餘年矣不幸仁同居生員張澩等不稟 於 朝廷不議士林擅以先正臣張顯光連坐竝享凡百 瞻聆孰不驚駭也哉永川進士臣李馦等七十餘人通曉 於太學文字內云士論皆以配享議定而至於多士齊 會之日張澩者揚臂勃然曰吾先生之於鄭圃隱何師之 有李馦等答之曰圃隱東方理學之祖也想其人師其道者 亦是弟子也而況張顯光自四十年前往來玆院景仰瞻 慕者不啻若師弟之分而其於謁畫像之詞曰吾人之參三 而得君臣父子之道於有邦者其誰之賜又曰顧我遺敎餘 化中末學云云則其先後師弟之分不待辨說而明者久 矣今者張澩等乃敢施罰於配享主論儒生朴暾等 四人而欲爲(竹/鉗)制箝制一時士林之論公者不其痛哉伏惟 聖 明以崇儒象賢之誠尊道希聖之心其於先賢道德之 先後次第譬若燭照而龜卜之瑩然心鏡不待人言而已 定於淵沖之玉淵矣伏惟 聖明誨諭而開詔之以定士習 不正之議焉如臣愚蒙不敢窺涯涘於其間在 宣廟 朝於龍仁書院以文忠公爲主位而以先正臣趙光祖配享 焉於松都書院以先正臣徐敬德配享則獨於臨皐賜額 書院乃敢以神位張顯光竝享者恐涉無據焉其於 公共之議如臣愚蒙敢爲開口而仰達於天日之下極知僭 越之罪臣以守廟長孫家貧計拙雖未妥於事神今聞 先祖神位之不安冞添慨歎之至當此 聖明求言之日未 獻謀國之策而敢以中心之所痛者仰瀆於 天日之下不 勝惶恐屛營之至謹昧死事據曹 啓目粘連 啓下是 白有亦凡書院享祀位次非出於 朝廷之命令在於一時 多士之公論今此文忠公鄭夢周臨皐書院以張顯光竝 享云以龍仁書院趙光祖配享松都書院徐敬德配享觀 之則張顯光竝享殊未妥當而此全在於士論之歸一非 子孫所可干與鄭儁疏內辭緣受理安徐何如 啓旣有 子孫則不可含默自本曹據禮指揮俾無相爭之弊爲良 如敎
doc_16430504b,문건16430504b,Document,政院 啓曰書院配享位次固非先賢子孫所可干與 非 朝廷之所可指揮也但臨皐書院乃 祖宗朝爲 鄭夢周賜額之地則以後賢配享或可爲也竝列而同享 決不可爲也東方理學自夢周爲之倡是百世之所宗師 也誰得而竝之哉後來傳得其學莫過於趙光祖徐敬 德而猶在配享之列況其他乎臣等竊聞張澩者乃張顯 光同姓之親而受學於其門者也乃敢排一道之公論擅削 其異議者擔當升享誠可惡也此事初不 上聞則已旣 已達於 天聽則禮官所當明其好惡以定士論仍請下 諭道臣 啓聞曲折而回 啓之語初不明白臣等招本 曹郞廳詳言此意今者略改數字猶以受理安徐爲 啓 極爲未妥而臣等不欲强爭敢此捧入 傳曰知 道
doc_16430506,문건16430506,Document,曹 啓目粘連 判下是白有亦臨皐書院張顯光竝享 之事臣等亦知其不可而自前此事等專在於多士之公 議非朝廷所可指揮故以此回 啓矣鄭夢周乃東方 理學之標的後學之所共宗師趙光祖徐敬德皆在配 享之列則張顯光不當竝享明矣張澩以受學之人排 攻配享之論敢爲竝列之擧其謬妄自擅之罪固難 所逃而太學及本道以此施罰云多士之意亦可見矣張顯 光依公議配享以正祀典事本道監司處行移何如 啓 依允
doc_16430529a,문건16430529a,Document,慶尙監司林墰 啓本節到付東萊府使鄭維城牒呈 內節到付備邊司 啓下關據使關內幼學鄭泊基 上疏 內臣祖父鄭撥往在壬辰之歲職守釜山偵候賊情累牒 巡使懇請兵修備以爲本鎭戰守之計而其時巡使未諳 兵機置之尋常祖父與本鎭土兵繕完城池修緝兵機 整頓舟楫激礪將士爲國門杆蔽之策果於四月十三日賊 自絶影島直指我境臣祖父以管下三船出戰洋中賊 艘蔽海衆寡不敵退守本鎭以數百寡弱之卒當 數十萬方張之賊援絶勢孤甚於㫿陽睢陽十四日鷄鳴賊 薄城臣祖父援捊鼓士殺賊盈濠賊知將勇守固幾 於退師不幸臣祖父中丸而死士心潰惙城遂被陷事定之後 雖蒙褒贈尙闕祀典荒裔之人至今傷嗟遐土輿情莫 由上聞歲在壬戌宣慰使李敏求接待倭使於釜山釜山 土兵黃加隱山等當時同守土兵之生存者聯名呈訴以 暴祖父血戰死節之忠蓋在三十年之久大烈難掩公議 不泯邊鄙無知之氓有何私意於其間而然哉只以秉彝 之天自激於心而不能已者也宣慰使李敏求感歎邊兵 之懇訴詳知祖父之壯節而館中宴接之時又聞倭 人之語我國忠烈之將必稱鄭撥至有擊節歎服者故 不敢掩置枚擧狀 啓其辭曰壬辰變故之後表表死事之 臣褒崇矜式靡有遺典如李舜臣李億祺之忠愍祠 金千鎰崔慶會之忠烈祠莫不立廟 賜額香火不絶矣 唯只東萊府使宋象賢初當戰鋒獨守孤城抗義捐 軀爲死節倡煌煌事跡炳若日星事定後孑遺民州相率構 廟私自享祀而獨未蒙 朝家賜額之典遐俗鹵莽初不上 請爲乎喩時勢搶攘事有未遑爲乎喩表揚之方殊爲欠缺 爲白乎旀釜山僉使鄭撥段守城身死之後無人稱道至 于今日益就昧昧而往來倭人等言及其時則必曰貴 國之將唯釜山僉使最爲力戰半日相持殺傷無算其時 倭卒累十萬如山壓卯遂不得支萬一衆寡相當則釜 城難陷是如爲白如乎續見其時城守土兵黃加隱山等 聯名呈狀內節該壬辰年四月十三日倭賊出來時本鎭僉 使鄭撥乘舟下海爲白有如乎絶影島內外洋中賊船蔽 海爲白有去乙僉使只率三船且戰且退不得已下陸領軍 城守達夜修治戰械十四日雞鳴倭賊進圍城底相與搏 戰僉使勵氣巡城射殺無數午末逢丸致死賊遂登城 矣徒等艱難得生爲白遣僉使率妾段聞僉使中丸 自劍以死戰亡忠烈顯然如此爲白去乙東萊府使哛 立廟致祭矣徒等常懷鬱抑大小使命行本鎭累變 呈訴終不擧論抱冤莫甚是如爲白臥乎所據此土兵所 訴參以倭人所傳鄭撥之事似難泯滅是白置宋象賢 祠宇依他例 賜號降香爲白遣鄭撥亦令配享以示褒 節之典無間久近淸明之代善無不彰似爲便當爲白齊 忠義之性人所同得激揚之心異類亦然倭人等常曰浙江 商船來泊長碕者備傳貴國金將軍之事令人鼓氣如此男 兒何代無之唯其擢用其節乃見如是歆尙不已爲白 去乎金應河一將之事天下爭誦 國家之勢因此益重而 宋象賢鄭撥之事彼所目見至今稱道乙仍于敢此陳 達云云而昏朝賞罰不明臣祖父與宋象賢死節則一也 而象賢則立廟 賜額臣祖父則獨不與焉國家褒嘉節 義之典豈以文武而有間乎倭人隣國也猶且尙其烈而稱 誦土兵邊氓也不忍置其冤而齊訴此非天下大公之論而 人子至痛之事乎精忠久鬱若有所待 聖明臨御褒 賞之典畢擧而臣父先臣所以整理使遠在海島末由籲 呼只懷傷痛其年在壬丁憂不勝喪而逝追遠之誠述 先之責專在臣身而弱齡遭喪疾病沈綿籲天之擧 久而未就至于庚午年 穆陵親祭之時 上言路左迄今 陻沒腐心刻骨泣繼以血天高莫聞叫閽無路崩城隕 霜昔人所悲伏願 殿下特命 廟堂修擧典禮許以配享 則非但九地之魂庶有所依邊裔人心亦必勸悅而無憾 於覆載之仁矣臣無任激切屛營之至事 上疏據備邊 司 啓目粘連 啓下是白有亦鄭撥死事雖在五十年之 後人皆稱道久而不衰哛不喩李敏求亦爲親聽倭人之 言至於上 聞而尙無褒異之擧識者無不歎惜爲白在 果鄭伯基陳疏哛以不可輕施莫重典禮令本道監司 廣採邊上公議擧實 啓聞後處置何如崇德八年三月 十九日右副承旨臣申敏一次知 啓依允 備邊司行移據慶尙監司牒呈云云備邊司回 啓內 鄭撥死節實蹟旣已査 啓似當配享令該曹 稟 旨處置何如
doc_16430529b,문건16430529b,Document,曹 啓目粘連 啓下是白有亦向前鄭撥死事實迹 因本道査 啓備局已爲入 啓配享事蒙允令本道 宋象賢祠宇良中配享事知委何如 啓依允
doc_16440809,문건16440809,Document,慶尙監司書狀內書院新設處轉報事據曹 啓目粘連 啓 下是白有亦書院之設初爲待學問靜修之士而其立祠 尊祀者則必以一世所明知可爲師表者當之今則不然 爲士者不事學問所祀者或非其人祠院雖多斯文 益晦誠可寒心今此狀 啓所論實爲有見自今新設 處皆令轉報本曹通議朝廷公論准許然後創設爲 當且各道祠宇曾自本曹行移憑問欲知所祀先賢 誰某而鄕人自知不足多諱而不報其多濫雜可知其 中最甚者按考勿祀亦當至於入院之士不事學問 徒事餔啜此無師道之故也宜令按臣擇置院長敦 興學行時加揀試澄汰則此乃因名責實培養人材之 道他道監司處一體行會何如 啓依允其中揀試澄 汰等事似涉過奬更爲酌處爲良如敎
doc_16440828a,문건16440828a,Document,曹 啓目粘連 判下是白有亦自前書院不與學校同體 故無汰講之事今則入院之士多不學冗雜故請置師 勸學去其濫雜者矣今承 聖敎揀擇等事實爲 未妥只令極擇院長之任使無濫雜之弊何如 啓若 無定限之法則必有不學者之淵藪問于大臣參酌定 數爲良如敎
