index,id,label,type,type_label,uri,birthYear,dateLabel,deathYear,externalURL,gregorianDate,hanjaName,headnote,lifeSpan,locationLabel,reignMonarch,reignYear,reignYearLabel,sexagenaryYear
0,doc_16420728a,문건16420728a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16420728a,,"1642년(인조20,壬午年) 7월28일",,,1642-07-28,,,,,인조,20,인조 20년 (1642년),壬午
1,doc_16420728b,문건16420728b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16420728b,,"1642년(인조20,壬午年) 7월28일",,,1642-07-28,,,,,인조,20,인조 20년 (1642년),壬午
2,doc_16420728c,문건16420728c,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16420728c,,"1642년(인조20,壬午年) 7월28일",,,1642-07-28,,,,,인조,20,인조 20년 (1642년),壬午
3,doc_16430504a,문건16430504a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16430504a,,"1643년(인조21,癸未) 5월4일",,,1643-05-04,,,,,인조,21,인조 21년 (1643년),癸未
4,doc_16430504b,문건16430504b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16430504b,,"1643년(인조21,癸未) 5월4일",,,1643-05-04,,,,,인조,21,인조 21년 (1643년),癸未
5,doc_16430506,문건16430506,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16430506,,"1643년(인조21,癸未) 5월6일",,,1643-05-06,,,,,인조,21,인조 21년 (1643년),癸未
6,doc_16430529a,문건16430529a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16430529a,,"1643년(인조21,癸未) 5월29일",,,1643-05-29,,,,,인조,21,인조 21년 (1643년),癸未
7,doc_16430529b,문건16430529b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16430529b,,"1643년(인조21,癸未) 5월29일",,,1643-05-29,,,,,인조,21,인조 21년 (1643년),癸未
8,doc_16440809,문건16440809,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16440809,,"1644년(인조22,甲申) 8월9일",,,1644-08-09,,,,,인조,22,인조 22년 (1644년),甲申
9,doc_16440828a,문건16440828a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16440828a,,"1644년(인조22,甲申) 8월28일",,,1644-08-28,,,,,인조,22,인조 22년 (1644년),甲申
10,doc_16440828b,문건16440828b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16440828b,,"1644년(인조22,甲申) 8월28일",,,1644-08-28,,,,,인조,22,인조 22년 (1644년),甲申
11,doc_16440828c,문건16440828c,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16440828c,,"1644년(인조22,甲申) 8월28일",,,1644-08-28,,,,,인조,22,인조 22년 (1644년),甲申
12,doc_16440828d,문건16440828d,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16440828d,,"1644년(인조22,甲申) 8월28일",,,1644-08-28,,,,,인조,22,인조 22년 (1644년),甲申
13,doc_16450119,문건16450119,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16450119,,"1645년(인조23,乙酉) 1월19일",,,1645-01-19,,,,,인조,23,인조 23년 (1645년),乙酉
14,doc_16460830,문건16460830,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16460830,,"1646년(인조24,丙戌) 8월30일",,,1646-08-30,,,,,인조,24,인조 24년 (1646년),丙戌
15,doc_16490413,문건16490413,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16490413,,"1649년(인조27,己丑) 4월13일",,,1649-04-13,,,,,인조,27,인조 27년 (1649년),己丑
16,doc_16500529,문건16500529,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16500529,,"1650년(효종1,庚寅) 5월29일",,,1650-05-29,,,,,효종,1,효종 1년 (1650년),庚寅
17,doc_16500530,문건16500530,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16500530,,"1650년(효종1,庚寅) 5월30일",,,1650-05-30,,,,,효종,1,효종 1년 (1650년),庚寅
18,doc_16500601,문건16500601,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16500601,,"1650년(효종1,庚寅) 6월1일",,,1650-06-01,,,,,효종,1,효종 1년 (1650년),庚寅
